frame,time_s,x_m,y_m,z_m,vx_m_s,vy_m_s,vz_m_s,sep_km,earth_koz_violation_chief,earth_koz_violation_deputy,inner_koz_shape,inner_koz_inside,brt_value,brt_unsafe
23,709.6297679933402,0.0,3200.0,0.0,0.0,0.0,0.0,3.1999999999998527,0,0,5056.790123456791,0,5352.800950270435,0
24,740.4832361669637,0.0,3200.0,0.0,0.0,0.0,0.0,3.2000000000004722,0,0,5056.790123456791,0,5352.800950270435,0
25,771.3367043405872,0.0,3200.0,0.0,0.0,0.0,0.0,3.199999999999861,0,0,5056.790123456791,0,5352.800950270435,0
26,802.1901725142106,0.0,3200.0,0.0,0.0,0.0,0.0,3.2000000000001685,0,0,5056.790123456791,0,5352.800950270435,0
27,833.0436406878341,0.0,3200.0,0.0,0.0,0.0,0.0,3.2000000000000726,0,0,5056.790123456791,0,5352.800950270435,0
28,863.8971088614576,0.0,3200.0,0.0,0.0,0.0,0.0,3.20000000000015,0,0,5056.790123456791,0,5352.800950270435,0
29,894.7505770350812,0.0,3200.0,0.0,0.0,0.0,0.0,3.200000000000077,0,0,5056.790123456791,0,5352.800950270435,0
30,925.6040452087046,0.0,3200.0,0.0,0.0,0.0,0.0,3.2000000000003657,0,0,5056.790123456791,0,5352.800950270435,0
31,956.4575133823281,0.0,3200.0,0.0,0.0,0.0,0.0,3.199999999999656,0,0,5056.790123456791,0,5352.800950270435,0
32,987.3109815559516,0.0,3200.0,0.0,0.0,0.0,0.0,3.199999999999659,0,0,5056.790123456791,0,5352.800950270435,0
33,1018.164449729575,0.0,3200.0,0.0,0.0,0.0,0.0,3.1999999999999824,0,0,5056.790123456791,0,5352.800950270435,0
34,1049.0179179031986,0.0,3200.0,0.0,0.0,0.0,0.0,3.200000000000133,0,0,5056.790123456791,0,5352.800950270435,0
35,1079.871386076822,0.0,3200.0,0.0,0.0,0.0,0.0,3.2000000000000304,0,0,5056.790123456791,0,5352.800950270435,0
36,1110.7248542504456,0.0,3200.0,0.0,0.0,0.0,0.0,3.1999999999998088,0,0,5056.790123456791,0,5352.800950270435,0
37,1141.578322424069,0.0,3200.0,0.0,0.0,0.0,0.0,3.2000000000000295,0,0,5056.790123456791,0,5352.800950270435,0
38,1172.4317905976925,0.0,3200.0,0.0,0.0,0.0,0.0,3.199999999999849,0,0,5056.790123456791,0,5352.800950270435,0
39,1203.285258771316,0.0,3200.0,0.0,0.0,0.0,0.0,3.2000000000000846,0,0,5056.790123456791,0,5352.800950270435,0
40,1234.1387269449394,0.0,3200.0,0.0,0.0,0.0,0.0,3.199999999999933,0,0,5056.790123456791,0,5352.800950270435,0
41,1264.992195118563,0.0,3200.0,0.0,0.0,0.0,0.0,3.200000000000059,0,0,5056.790123456791,0,5352.800950270435,0
42,1295.8456632921864,0.0,3200.0,0.0,0.0,0.0,0.0,3.1999999999999473,0,0,5056.790123456791,0,5352.800950270435,0
43,1326.6991314658098,0.0,3200.0,0.0,0.0,0.0,0.0,3.199999999999992,0,0,5056.790123456791,0,5352.800950270435,0
44,1357.5525996394333,0.0,3200.0,0.0,0.0,0.0,0.0,3.19999999999998,0,0,5056.790123456791,0,5352.800950270435,0
45,1388.406067813057,0.0,3200.0,0.0,0.0,0.0,0.0,3.2,0,0,5056.790123456791,0,5352.800950270435,0
46,1419.2595359866805,0.0,3200.0,0.0,0.0,-0.0,-0.0,3.19999999999998,0,0,5056.790123456791,0,5352.800950270435,0
47,1450.113004160304,0.0,3200.0,0.0,0.0,-0.0,-0.0,3.199999999999992,0,0,5056.790123456791,0,5352.800950270435,0
48,1480.9664723339274,0.0,3200.0,0.0,0.0,-0.0,-0.0,3.1999999999999473,0,0,5056.790123456791,0,5352.800950270435,0
49,1511.8199405075509,0.0,3200.0,0.0,0.0,-0.0,-0.0,3.200000000000059,0,0,5056.790123456791,0,5352.800950270435,0
50,1542.6734086811744,0.0,3200.0,0.0,0.0,-0.0,-0.0,3.199999999999933,0,0,5056.790123456791,0,5352.800950270435,0
51,1573.5268768547978,0.0,3200.0,0.0,0.0,-0.0,-0.0,3.2000000000000846,0,0,5056.790123456791,0,5352.800950270435,0
52,1604.3803450284213,0.0,3200.0,0.0,0.0,-0.0,-0.0,3.199999999999849,0,0,5056.790123456791,0,5352.800950270435,0
53,1635.2338132020448,0.0,3200.0,0.0,0.0,-0.0,-0.0,3.2000000000000295,0,0,5056.790123456791,0,5352.800950270435,0
54,1666.0872813756682,0.0,3200.0,0.0,0.0,-0.0,-0.0,3.1999999999998088,0,0,5056.790123456791,0,5352.800950270435,0
55,1696.9407495492917,0.0,3200.0,0.0,0.0,-0.0,-0.0,3.2000000000000304,0,0,5056.790123456791,0,5352.800950270435,0
56,1727.7942177229152,0.0,3200.0,0.0,0.0,-0.0,-0.0,3.200000000000133,0,0,5056.790123456791,0,5352.800950270435,0
57,1758.6476858965386,0.0,3200.0,0.0,0.0,-0.0,-0.0,3.1999999999999824,0,0,5056.790123456791,0,5352.800950270435,0
58,1789.5011540701623,0.0,3200.0,0.0,0.0,-0.0,-0.0,3.199999999999659,0,0,5056.790123456791,0,5352.800950270435,0
59,1820.3546222437858,0.0,3200.0,0.0,0.0,-0.0,-0.0,3.199999999999656,0,0,5056.790123456791,0,5352.800950270435,0
60,1851.2080904174093,0.0,3200.0,0.0,0.0,-0.0,-0.0,3.2000000000003657,0,0,5056.790123456791,0,5352.800950270435,0
61,1882.0615585910327,0.0,3200.0,0.0,0.0,-0.0,-0.0,3.200000000000077,0,0,5056.790123456791,0,5352.800950270435,0
62,1912.9150267646562,0.0,3200.0,0.0,0.0,-0.0,-0.0,3.20000000000015,0,0,5056.790123456791,0,5352.800950270435,0
63,1943.7684949382797,0.0,3200.0,0.0,0.0,-0.0,-0.0,3.2000000000000726,0,0,5056.790123456791,0,5352.800950270435,0
64,1974.6219631119031,0.0,3200.0,0.0,0.0,-0.0,-0.0,3.2000000000001685,0,0,5056.790123456791,0,5352.800950270435,0
65,2005.4754312855266,0.0,3200.0,0.0,0.0,-0.0,-0.0,3.199999999999861,0,0,5056.790123456791,0,5352.800950270435,0
66,2036.32889945915,0.0,3200.0,0.0,0.0,-0.0,-0.0,3.2000000000004722,0,0,5056.790123456791,0,5352.800950270435,0
67,2067.1823676327735,0.0,3200.0,0.0,0.0,-0.0,-0.0,3.1999999999998527,0,0,5056.790123456791,0,5352.800950270435,0
68,2098.0358358063972,0.0,3200.0,0.0,0.0,-0.0,-0.0,3.1999999999998527,0,0,5056.790123456791,0,5352.800950270435,0
69,2128.8893039800205,0.0,3200.0,0.0,0.0,-0.0,-0.0,3.2000000000004722,0,0,5056.790123456791,0,5352.800950270435,0
70,2159.742772153644,0.0,3200.0,0.0,0.0,-0.0,-0.0,3.199999999999861,0,0,5056.790123456791,0,5352.800950270435,0
71,2190.5962403272674,0.0,3200.0,0.0,0.0,-0.0,-0.0,3.2000000000001685,0,0,5056.790123456791,0,5352.800950270435,0
72,2221.449708500891,0.0,3200.0,0.0,0.0,-0.0,-0.0,3.2000000000000726,0,0,5056.790123456791,0,5352.800950270435,0
73,2252.3031766745144,0.0,3200.0,0.0,0.0,-0.0,-0.0,3.20000000000015,0,0,5056.790123456791,0,5352.800950270435,0
74,2283.156644848138,0.0,3200.0,0.0,0.0,-0.0,-0.0,3.200000000000077,0,0,5056.790123456791,0,5352.800950270435,0
75,2314.0101130217613,0.0,3200.0,0.0,0.0,-0.0,-0.0,3.2000000000003657,0,0,5056.790123456791,0,5352.800950270435,0
76,2344.863581195385,0.0,3200.0,0.0,0.0,-0.0,-0.0,3.199999999999656,0,0,5056.790123456791,0,5352.800950270435,0
77,2375.7170493690087,0.0,3200.0,0.0,0.0,-0.0,-0.0,3.199999999999659,0,0,5056.790123456791,0,5352.800950270435,0
78,2406.570517542632,0.0,3200.0,0.0,0.0,-0.0,-0.0,3.1999999999999824,0,0,5056.790123456791,0,5352.800950270435,0
79,2437.4239857162556,0.0,3200.0,0.0,0.0,-0.0,-0.0,3.200000000000133,0,0,5056.790123456791,0,5352.800950270435,0
80,2468.277453889879,0.0,3200.0,0.0,0.0,-0.0,-0.0,3.2000000000000304,0,0,5056.790123456791,0,5352.800950270435,0
81,2499.1309220635026,0.0,3200.0,0.0,0.0,-0.0,-0.0,3.1999999999998088,0,0,5056.790123456791,0,5352.800950270435,0
82,2529.984390237126,0.0,3200.0,0.0,0.0,-0.0,-0.0,3.2000000000000295,0,0,5056.790123456791,0,5352.800950270435,0
83,2560.8378584107495,0.0,3200.0,0.0,0.0,-0.0,-0.0,3.199999999999849,0,0,5056.790123456791,0,5352.800950270435,0
84,2591.6913265843727,0.0,3200.0,0.0,0.0,-0.0,-0.0,3.2000000000000846,0,0,5056.790123456791,0,5352.800950270435,0
85,2622.5447947579964,0.0,3200.0,0.0,0.0,-0.0,-0.0,3.199999999999933,0,0,5056.790123456791,0,5352.800950270435,0
86,2653.3982629316197,0.0,3200.0,0.0,0.0,-0.0,-0.0,3.200000000000059,0,0,5056.790123456791,0,5352.800950270435,0
87,2684.2517311052434,0.0,3200.0,0.0,0.0,-0.0,-0.0,3.1999999999999473,0,0,5056.790123456791,0,5352.800950270435,0
88,2715.1051992788666,0.0,3200.0,0.0,0.0,-0.0,-0.0,3.199999999999992,0,0,5056.790123456791,0,5352.800950270435,0
89,2745.9586674524903,0.0,3200.0,0.0,0.0,-0.0,-0.0,3.19999999999998,0,0,5056.790123456791,0,5352.800950270435,0
90,2776.812135626114,0.0,3200.0,0.0,0.0,-0.0,-0.0,3.2,0,0,5056.790123456791,0,5352.800950270435,0
91,2807.6656037997373,0.0,3200.0,-0.0,-0.0,0.0,0.0,3.19999999999998,0,0,5056.790123456791,0,5352.800950270435,0
92,2838.519071973361,0.0,3200.0,-0.0,-0.0,0.0,0.0,3.199999999999992,0,0,5056.790123456791,0,5352.800950270435,0
93,2869.372540146984,0.0,3200.0,-0.0,-0.0,0.0,0.0,3.1999999999999473,0,0,5056.790123456791,0,5352.800950270435,0
94,2900.226008320608,0.0,3200.0,-0.0,-0.0,0.0,0.0,3.200000000000059,0,0,5056.790123456791,0,5352.800950270435,0
95,2931.079476494231,0.0,3200.0,-0.0,-0.0,0.0,0.0,3.199999999999933,0,0,5056.790123456791,0,5352.800950270435,0
96,2961.932944667855,0.0,3200.0,-0.0,-0.0,0.0,0.0,3.2000000000000846,0,0,5056.790123456791,0,5352.800950270435,0
97,2992.786412841478,0.0,3200.0,-0.0,-0.0,0.0,0.0,3.199999999999849,0,0,5056.790123456791,0,5352.800950270435,0
98,3023.6398810151018,0.0,3200.0,-0.0,-0.0,0.0,0.0,3.2000000000000295,0,0,5056.790123456791,0,5352.800950270435,0
99,3054.493349188725,0.0,3200.0,-0.0,-0.0,0.0,0.0,3.1999999999998088,0,0,5056.790123456791,0,5352.800950270435,0
100,3085.3468173623487,0.0,3200.0,-0.0,-0.0,0.0,0.0,3.2000000000000304,0,0,5056.790123456791,0,5352.800950270435,0
101,3116.200285535972,0.0,3200.0,-0.0,-0.0,0.0,0.0,3.200000000000133,0,0,5056.790123456791,0,5352.800950270435,0
102,3147.0537537095956,0.0,3200.0,-0.0,-0.0,0.0,0.0,3.1999999999999824,0,0,5056.790123456791,0,5352.800950270435,0
103,3177.9072218832193,0.0,3200.0,-0.0,-0.0,0.0,0.0,3.199999999999659,0,0,5056.790123456791,0,5352.800950270435,0
104,3208.7606900568426,0.0,3200.0,-0.0,-0.0,0.0,0.0,3.199999999999656,0,0,5056.790123456791,0,5352.800950270435,0
105,3239.6141582304663,0.0,3200.0,-0.0,-0.0,0.0,0.0,3.2000000000003657,0,0,5056.790123456791,0,5352.800950270435,0
106,3270.4676264040895,0.0,3200.0,-0.0,-0.0,0.0,0.0,3.200000000000077,0,0,5056.790123456791,0,5352.800950270435,0
107,3301.321094577713,0.0,3200.0,-0.0,-0.0,0.0,0.0,3.20000000000015,0,0,5056.790123456791,0,5352.800950270435,0
108,3332.1745627513365,0.0,3200.0,-0.0,-0.0,0.0,0.0,3.2000000000000726,0,0,5056.790123456791,0,5352.800950270435,0
109,3363.02803092496,0.0,3200.0,-0.0,-0.0,0.0,0.0,3.2000000000001685,0,0,5056.790123456791,0,5352.800950270435,0
110,3393.8814990985834,0.0,3200.0,-0.0,-0.0,0.0,0.0,3.199999999999861,0,0,5056.790123456791,0,5352.800950270435,0
111,3424.734967272207,0.0,3200.0,-0.0,-0.0,0.0,0.0,3.2000000000004722,0,0,5056.790123456791,0,5352.800950270435,0
112,3455.5884354458303,0.0,3200.0,-0.0,-0.0,0.0,0.0,3.1999999999998527,0,0,5056.790123456791,0,5352.800950270435,0
113,3486.441903619454,0.0,3200.0,-0.0,-0.0,0.0,0.0,3.1999999999998527,0,0,5056.790123456791,0,5352.800950270435,0
114,3517.2953717930773,0.0,3200.0,-0.0,-0.0,0.0,0.0,3.2000000000004722,0,0,5056.790123456791,0,5352.800950270435,0
115,3548.148839966701,0.0,3200.0,-0.0,-0.0,0.0,0.0,3.199999999999861,0,0,5056.790123456791,0,5352.800950270435,0
116,3579.0023081403247,0.0,3200.0,-0.0,-0.0,0.0,0.0,3.2000000000001685,0,0,5056.790123456791,0,5352.800950270435,0
117,3609.855776313948,0.0,3200.0,-0.0,-0.0,0.0,0.0,3.2000000000000726,0,0,5056.790123456791,0,5352.800950270435,0
118,3640.7092444875716,0.0,3200.0,-0.0,-0.0,0.0,0.0,3.20000000000015,0,0,5056.790123456791,0,5352.800950270435,0
119,3671.562712661195,0.0,3200.0,-0.0,-0.0,0.0,0.0,3.200000000000077,0,0,5056.790123456791,0,5352.800950270435,0
120,3702.4161808348185,0.0,3200.0,-0.0,-0.0,0.0,0.0,3.2000000000003657,0,0,5056.790123456791,0,5352.800950270435,0
121,3733.269649008442,0.0,3200.0,-0.0,-0.0,0.0,0.0,3.199999999999656,0,0,5056.790123456791,0,5352.800950270435,0
122,3764.1231171820655,0.0,3200.0,-0.0,-0.0,0.0,0.0,3.199999999999659,0,0,5056.790123456791,0,5352.800950270435,0
123,3794.9765853556887,0.0,3200.0,-0.0,-0.0,0.0,0.0,3.1999999999999824,0,0,5056.790123456791,0,5352.800950270435,0
124,3825.8300535293124,0.0,3200.0,-0.0,-0.0,0.0,0.0,3.200000000000133,0,0,5056.790123456791,0,5352.800950270435,0
125,3856.6835217029356,0.0,3200.0,-0.0,-0.0,0.0,0.0,3.2000000000000304,0,0,5056.790123456791,0,5352.800950270435,0
126,3887.5369898765593,0.0,3200.0,-0.0,-0.0,0.0,0.0,3.1999999999998088,0,0,5056.790123456791,0,5352.800950270435,0
127,3918.3904580501826,0.0,3200.0,-0.0,-0.0,0.0,0.0,3.2000000000000295,0,0,5056.790123456791,0,5352.800950270435,0
128,3949.2439262238063,0.0,3200.0,-0.0,-0.0,0.0,0.0,3.199999999999849,0,0,5056.790123456791,0,5352.800950270435,0
129,3980.09739439743,0.0,3200.0,-0.0,-0.0,0.0,0.0,3.2000000000000846,0,0,5056.790123456791,0,5352.800950270435,0
130,4010.950862571053,0.0,3200.0,-0.0,-0.0,0.0,0.0,3.199999999999933,0,0,5056.790123456791,0,5352.800950270435,0
131,4041.804330744677,0.0,3200.0,-0.0,-0.0,0.0,0.0,3.200000000000059,0,0,5056.790123456791,0,5352.800950270435,0
132,4072.6577989183,0.0,3200.0,-0.0,-0.0,0.0,0.0,3.1999999999999473,0,0,5056.790123456791,0,5352.800950270435,0
133,4103.511267091923,0.0,3200.0,-0.0,-0.0,0.0,0.0,3.199999999999992,0,0,5056.790123456791,0,5352.800950270435,0
134,4134.364735265547,0.0,3200.0,-0.0,-0.0,0.0,0.0,3.19999999999998,0,0,5056.790123456791,0,5352.800950270435,0
135,4165.218203439171,0.0,3200.0,-0.0,-0.0,0.0,0.0,3.2,0,0,5056.790123456791,0,5352.800950270435,0
136,4196.0716716127945,0.0,3200.0,0.0,0.0,0.0,0.0,3.19999999999998,0,0,5056.790123456791,0,5352.800950270435,0
137,4226.925139786417,0.0,3200.0,0.0,0.0,0.0,0.0,3.199999999999992,0,0,5056.790123456791,0,5352.800950270435,0
138,4257.778607960041,0.0,3200.0,0.0,0.0,0.0,0.0,3.1999999999999473,0,0,5056.790123456791,0,5352.800950270435,0
139,4288.632076133665,0.0,3200.0,0.0,0.0,0.0,0.0,3.200000000000059,0,0,5056.790123456791,0,5352.800950270435,0
140,4319.485544307288,0.0,3200.0,0.0,0.0,0.0,0.0,3.199999999999933,0,0,5056.790123456791,0,5352.800950270435,0
141,4350.339012480912,0.0,3200.0,0.0,0.0,0.0,0.0,3.2000000000000846,0,0,5056.790123456791,0,5352.800950270435,0
142,4381.192480654535,0.0,3200.0,0.0,0.0,0.0,0.0,3.199999999999849,0,0,5056.790123456791,0,5352.800950270435,0
143,4412.0459488281585,0.0,3200.0,0.0,0.0,0.0,0.0,3.2000000000000295,0,0,5056.790123456791,0,5352.800950270435,0
144,4442.899417001782,0.0,3200.0,0.0,0.0,0.0,0.0,3.1999999999998088,0,0,5056.790123456791,0,5352.800950270435,0
145,4473.752885175406,0.0,3200.0,0.0,0.0,0.0,0.0,3.2000000000000304,0,0,5056.790123456791,0,5352.800950270435,0
146,4504.606353349029,0.0,3200.0,0.0,0.0,0.0,0.0,3.200000000000133,0,0,5056.790123456791,0,5352.800950270435,0
147,4535.459821522652,0.0,3200.0,0.0,0.0,0.0,0.0,3.1999999999999824,0,0,5056.790123456791,0,5352.800950270435,0
148,4566.313289696276,0.0,3200.0,0.0,0.0,0.0,0.0,3.199999999999659,0,0,5056.790123456791,0,5352.800950270435,0
149,4597.1667578699,0.0,3200.0,0.0,0.0,0.0,0.0,3.199999999999656,0,0,5056.790123456791,0,5352.800950270435,0
150,4628.020226043523,0.0,3200.0,0.0,0.0,0.0,0.0,3.2000000000003657,0,0,5056.790123456791,0,5352.800950270435,0
151,4658.873694217146,0.0,3200.0,0.0,0.0,0.0,0.0,3.200000000000077,0,0,5056.790123456791,0,5352.800950270435,0
152,4689.72716239077,0.0,3200.0,0.0,0.0,0.0,0.0,3.20000000000015,0,0,5056.790123456791,0,5352.800950270435,0
153,4720.580630564394,0.0,3200.0,0.0,0.0,0.0,0.0,3.2000000000000726,0,0,5056.790123456791,0,5352.800950270435,0
154,4751.434098738017,0.0,3200.0,0.0,0.0,0.0,0.0,3.2000000000001685,0,0,5056.790123456791,0,5352.800950270435,0
155,4782.28756691164,0.0,3200.0,0.0,0.0,0.0,0.0,3.199999999999861,0,0,5056.790123456791,0,5352.800950270435,0
156,4813.141035085264,0.0,3200.0,0.0,0.0,0.0,0.0,3.2000000000004722,0,0,5056.790123456791,0,5352.800950270435,0
157,4843.994503258888,0.0,3200.0,0.0,0.0,0.0,0.0,3.1999999999998527,0,0,5056.790123456791,0,5352.800950270435,0
158,4874.847971432511,0.0,3200.0,0.0,0.0,0.0,0.0,3.1999999999998527,0,0,5056.790123456791,0,5352.800950270435,0
159,4905.701439606134,0.0,3200.0,0.0,0.0,0.0,0.0,3.2000000000004722,0,0,5056.790123456791,0,5352.800950270435,0
160,4936.554907779758,0.0,3200.0,0.0,0.0,0.0,0.0,3.199999999999861,0,0,5056.790123456791,0,5352.800950270435,0
161,4967.408375953381,0.0,3200.0,0.0,0.0,0.0,0.0,3.2000000000001685,0,0,5056.790123456791,0,5352.800950270435,0
162,4998.261844127005,0.0,3200.0,0.0,0.0,0.0,0.0,3.2000000000000726,0,0,5056.790123456791,0,5352.800950270435,0
163,5029.115312300628,0.0,3200.0,0.0,0.0,0.0,0.0,3.20000000000015,0,0,5056.790123456791,0,5352.800950270435,0
164,5059.968780474252,0.0,3200.0,0.0,0.0,0.0,0.0,3.200000000000077,0,0,5056.790123456791,0,5352.800950270435,0
165,5090.822248647875,0.0,3200.0,0.0,0.0,0.0,0.0,3.2000000000003657,0,0,5056.790123456791,0,5352.800950270435,0
166,5121.675716821499,0.0,3200.0,0.0,0.0,0.0,0.0,3.199999999999656,0,0,5056.790123456791,0,5352.800950270435,0
167,5152.529184995123,0.0,3200.0,0.0,0.0,0.0,0.0,3.199999999999659,0,0,5056.790123456791,0,5352.800950270435,0
168,5183.3826531687455,0.0,3200.0,0.0,0.0,0.0,0.0,3.1999999999999824,0,0,5056.790123456791,0,5352.800950270435,0
169,5214.236121342369,0.0,3200.0,0.0,0.0,0.0,0.0,3.200000000000133,0,0,5056.790123456791,0,5352.800950270435,0
170,5245.089589515993,0.0,3200.0,0.0,0.0,0.0,0.0,3.2000000000000304,0,0,5056.790123456791,0,5352.800950270435,0
171,5275.943057689617,0.0,3200.0,0.0,0.0,0.0,0.0,3.1999999999998088,0,0,5056.790123456791,0,5352.800950270435,0
172,5306.796525863239,0.0,3200.0,0.0,0.0,0.0,0.0,3.2000000000000295,0,0,5056.790123456791,0,5352.800950270435,0
173,5337.649994036863,0.0,3200.0,0.0,0.0,0.0,0.0,3.199999999999849,0,0,5056.790123456791,0,5352.800950270435,0
174,5368.503462210487,0.0,3200.0,0.0,0.0,0.0,0.0,3.2000000000000846,0,0,5056.790123456791,0,5352.800950270435,0
175,5399.3569303841105,0.0,3200.0,0.0,0.0,0.0,0.0,3.199999999999933,0,0,5056.790123456791,0,5352.800950270435,0
176,5430.210398557733,0.0,3200.0,0.0,0.0,0.0,0.0,3.200000000000059,0,0,5056.790123456791,0,5352.800950270435,0
177,5461.063866731357,0.0,3200.0,0.0,0.0,0.0,0.0,3.1999999999999473,0,0,5056.790123456791,0,5352.800950270435,0
178,5491.917334904981,0.0,3200.0,0.0,0.0,0.0,0.0,3.199999999999992,0,0,5056.790123456791,0,5352.800950270435,0
179,5522.770803078604,0.0,3200.0,0.0,0.0,0.0,0.0,3.19999999999998,0,0,5056.790123456791,0,5352.800950270435,0
180,5553.624271252228,0.0,3200.0,0.0,0.0,0.0,0.0,3.2,0,0,5056.790123456791,0,5352.800950270435,0
181,5584.477739425851,0.0,3200.0,0.0,0.0,0.0,0.0,3.19999999999998,0,0,5056.790123456791,0,5352.800950270435,0
182,5615.3312075994745,0.0,3200.0,0.0,0.0,0.0,0.0,3.199999999999992,0,0,5056.790123456791,0,5352.800950270435,0
183,5646.184675773098,0.0,3200.0,0.0,0.0,0.0,0.0,3.1999999999999473,0,0,5056.790123456791,0,5352.800950270435,0
184,5677.038143946722,0.0,3200.0,0.0,0.0,0.0,0.0,3.200000000000059,0,0,5056.790123456791,0,5352.800950270435,0
185,5707.891612120345,0.0,3200.0,0.0,0.0,0.0,0.0,3.199999999999933,0,0,5056.790123456791,0,5352.800950270435,0
186,5738.745080293968,0.0,3200.0,0.0,0.0,0.0,0.0,3.2000000000000846,0,0,5056.790123456791,0,5352.800950270435,0
187,5769.598548467592,0.0,3200.0,0.0,0.0,0.0,0.0,3.199999999999849,0,0,5056.790123456791,0,5352.800950270435,0
188,5800.452016641216,0.0,3200.0,0.0,0.0,0.0,0.0,3.2000000000000295,0,0,5056.790123456791,0,5352.800950270435,0
189,5831.305484814839,0.0,3200.0,0.0,0.0,0.0,0.0,3.1999999999998088,0,0,5056.790123456791,0,5352.800950270435,0
190,5862.158952988462,0.0,3200.0,0.0,0.0,0.0,0.0,3.2000000000000304,0,0,5056.790123456791,0,5352.800950270435,0
191,5893.012421162086,0.0,3200.0,0.0,0.0,0.0,0.0,3.200000000000133,0,0,5056.790123456791,0,5352.800950270435,0
192,5923.86588933571,0.0,3200.0,0.0,0.0,0.0,0.0,3.1999999999999824,0,0,5056.790123456791,0,5352.800950270435,0
193,5954.719357509333,0.0,3200.0,0.0,0.0,0.0,0.0,3.199999999999659,0,0,5056.790123456791,0,5352.800950270435,0
194,5985.572825682956,0.0,3200.0,0.0,0.0,0.0,0.0,3.199999999999656,0,0,5056.790123456791,0,5352.800950270435,0
195,6016.42629385658,0.0,3200.0,0.0,0.0,0.0,0.0,3.2000000000003657,0,0,5056.790123456791,0,5352.800950270435,0
196,6047.2797620302035,0.0,3200.0,0.0,0.0,0.0,0.0,3.200000000000077,0,0,5056.790123456791,0,5352.800950270435,0
197,6078.133230203827,0.0,3200.0,0.0,0.0,0.0,0.0,3.20000000000015,0,0,5056.790123456791,0,5352.800950270435,0
198,6108.98669837745,0.0,3200.0,0.0,0.0,0.0,0.0,3.2000000000000726,0,0,5056.790123456791,0,5352.800950270435,0
199,6139.840166551074,0.0,3200.0,0.0,0.0,0.0,0.0,3.2000000000001685,0,0,5056.790123456791,0,5352.800950270435,0
200,6170.693634724697,0.0,3200.0,0.0,0.0,0.0,0.0,3.199999999999861,0,0,5056.790123456791,0,5352.800950270435,0
