plan_id,category,start_y_m,intent,n_burns,first_burn_t_s,max_dv_m_s,requires_intervention,reasons,binding_constraint
aggr_v_dv_y90_044,aggr_v_dv,90.0,aggressive_v_dv,1,364.2,0.7,1,dv_cap,dv_bound
passive_twoburn_y90_045,passive_twoburn,90.0,aggressive_passive,2,393.0,0.04816,1,passive,v_bound
passive_twoburn_y90_046,passive_twoburn,90.0,aggressive_passive,2,397.7,0.06259,1,passive,v_bound
passive_twoburn_y90_047,passive_twoburn,90.0,aggressive_passive,2,372.2,0.05063,1,passive,v_bound
safe_near_y110_048,safe_near,110.0,safe,1,346.3,0.00973,0,,none
safe_near_y110_049,safe_near,110.0,safe,1,455.3,0.02294,0,,none
safe_near_y110_050,safe_near,110.0,safe,1,309.4,0.03372,0,,none
safe_near_y110_051,safe_near,110.0,safe,1,412.0,0.00535,0,,none
safe_near_y110_052,safe_near,110.0,safe,1,592.5,0.0184,0,,none
safe_near_y110_053,safe_near,110.0,safe,1,324.8,0.02509,0,,none
safe_near_y110_054,safe_near,110.0,safe,1,329.1,0.03139,0,,none
safe_near_y110_055,safe_near,110.0,safe,1,333.1,0.0165,0,,none
aggr_v_y110_056,aggr_v,110.0,aggressive_v,1,520.9,0.08942,0,,none
aggr_v_y110_057,aggr_v,110.0,aggressive_v,1,332.7,0.0532,0,,none
aggr_v_y110_058,aggr_v,110.0,aggressive_v,1,466.0,0.06899,0,,none
aggr_v_y110_059,aggr_v,110.0,aggressive_v,1,438.3,0.07915,0,,none
aggr_v_y110_060,aggr_v,110.0,aggressive_v,1,575.5,0.06751,0,,none
aggr_v_y110_061,aggr_v,110.0,aggressive_v,1,444.7,0.08373,0,,none
aggr_v_y110_062,aggr_v,110.0,aggressive_v,1,406.1,0.10235,0,,none
aggr_v_y110_063,aggr_v,110.0,aggressive_v,1,363.2,0.11238,0,,none
aggr_v_y110_064,aggr_v,110.0,aggressive_v,1,445.4,0.08036,0,,none
aggr_v_dv_y110_065,aggr_v_dv,110.0,aggressive_v_dv,1,342.5,0.7,1,dv_cap,dv_bound
aggr_v_dv_y110_066,aggr_v_dv,110.0,aggressive_v_dv,1,405.6,0.7,1,dv_cap,dv_bound
aggr_v_dv_y110_067,aggr_v_dv,110.0,aggressive_v_dv,1,350.4,0.7,1,dv_cap,dv_bound
aggr_v_dv_y110_068,aggr_v_dv,110.0,aggressive_v_dv,1,503.7,0.7,1,dv_cap,dv_bound
passive_twoburn_y110_069,passive_twoburn,110.0,aggressive_passive,2,427.4,0.09049,1,passive,v_bound
passive_twoburn_y110_070,passive_twoburn,110.0,aggressive_passive,2,371.5,0.09682,1,passive,v_bound
passive_twoburn_y110_071,passive_twoburn,110.0,aggressive_passive,2,361.1,0.05881,1,passive,v_bound
