plan_id,category,approach_angle,urgency,n_burns,total_dv_m_s,max_dv_m_s,expected_intervention,intervention_reasons,first_unsafe_step,min_sep_any_step_m
fast_min_time_radial_high_048,fast_min_time,radial,high,2,5.74163,5.34206,1,brt|dv_cap,0,4.8
fast_min_time_radial_med_049,fast_min_time,radial,med,1,2.37743,2.37743,1,dv_cap,0,407.9
fast_min_time_radial_med_050,fast_min_time,radial,med,1,1.60968,1.60968,1,dv_cap,0,452.4
aggressive_braking_along_track_high_051,aggressive_braking,along_track,high,2,2.38268,1.58845,1,dv_cap,0,1553.2
aggressive_braking_along_track_high_052,aggressive_braking,along_track,high,1,1.84182,1.84182,1,dv_cap,0,1629.3
aggressive_braking_along_track_high_053,aggressive_braking,along_track,high,1,2.91738,2.91738,1,dv_cap,0,1290.3
aggressive_braking_along_track_high_054,aggressive_braking,along_track,high,2,3.91669,2.61113,1,dv_cap,0,1282.0
aggressive_braking_oblique_high_055,aggressive_braking,oblique,high,2,2.09686,1.3979,1,dv_cap,0,1500.9
aggressive_braking_oblique_high_056,aggressive_braking,oblique,high,1,2.02157,2.02157,1,dv_cap,0,1838.9
aggressive_braking_oblique_high_057,aggressive_braking,oblique,high,2,1.82371,1.21581,1,dv_cap,0,1726.4
aggressive_braking_oblique_high_058,aggressive_braking,oblique,high,2,2.7395,1.82633,1,dv_cap,0,1548.8
reckless_along_track_high_059,reckless,along_track,high,1,5.60521,5.60521,1,dv_cap,0,666.8
reckless_along_track_high_060,reckless,along_track,high,1,2.62173,2.62173,1,dv_cap,0,1276.4
reckless_along_track_high_061,reckless,along_track,high,1,3.07217,3.07217,1,dv_cap,0,1129.0
reckless_along_track_high_062,reckless,along_track,high,1,4.02151,4.02151,1,dv_cap,0,900.6
reckless_along_track_high_063,reckless,along_track,high,1,6.72639,6.72639,1,dv_cap,0,561.5
reckless_along_track_high_064,reckless,along_track,high,1,4.23653,4.23653,1,dv_cap,0,860.3
reckless_along_track_high_065,reckless,along_track,high,1,7.10548,7.10548,1,dv_cap,0,532.9
reckless_along_track_high_066,reckless,along_track,high,1,13.58525,13.58525,1,brt|dv_cap,0,1.9
reckless_along_track_high_067,reckless,along_track,high,1,14.62273,14.62273,1,brt|dv_cap,0,1.3
reckless_along_track_high_068,reckless,along_track,high,1,4.04965,4.04965,1,dv_cap,0,895.2
direct_intercept_along_track_high_069,direct_intercept,along_track,high,1,2.21663,2.21663,1,brt|dv_cap,0,4.7
direct_intercept_along_track_high_070,direct_intercept,along_track,high,1,1.42953,1.42953,1,dv_cap,0,866.4
direct_intercept_along_track_med_071,direct_intercept,along_track,med,1,0.95938,0.95938,1,dv_cap,0,1777.2
direct_intercept_along_track_med_072,direct_intercept,along_track,med,1,0.59466,0.59466,1,dv_cap,0,2426.8
direct_intercept_along_track_low_073,direct_intercept,along_track,low,1,0.25906,0.25906,0,,,2951.2
direct_intercept_along_track_low_074,direct_intercept,along_track,low,1,0.08133,0.08133,0,,,3200.0
direct_intercept_oblique_high_075,direct_intercept,oblique,high,1,2.21814,2.21814,1,brt|dv_cap,0,2.3
direct_intercept_oblique_high_076,direct_intercept,oblique,high,1,1.43007,1.43007,1,dv_cap,0,868.1
direct_intercept_oblique_med_077,direct_intercept,oblique,med,1,0.95917,0.95917,1,dv_cap,0,1779.0
direct_intercept_oblique_med_078,direct_intercept,oblique,med,1,0.59386,0.59386,1,dv_cap,0,2428.7
direct_intercept_oblique_low_079,direct_intercept,oblique,low,1,0.25783,0.25783,0,,,2953.1
direct_intercept_oblique_low_080,direct_intercept,oblique,low,1,0.07943,0.07943,0,,,3200.0
direct_intercept_radial_high_081,direct_intercept,radial,high,1,2.22244,2.22244,1,brt|dv_cap,0,7.8
direct_intercept_radial_high_082,direct_intercept,radial,high,1,1.43265,1.43265,1,dv_cap,0,865.8
direct_intercept_radial_med_083,direct_intercept,radial,med,1,0.96067,0.96067,1,dv_cap,0,1777.9
direct_intercept_radial_med_084,direct_intercept,radial,med,1,0.59453,0.59453,1,dv_cap,0,2428.4
direct_intercept_radial_low_085,direct_intercept,radial,low,1,0.25776,0.25776,0,,,2953.6
direct_intercept_radial_low_086,direct_intercept,radial,low,1,0.07879,0.07879,0,,,3200.0
direct_intercept_out_of_plane_high_087,direct_intercept,out_of_plane,high,1,2.21847,2.21847,1,brt|dv_cap,0,7.2
direct_intercept_out_of_plane_high_088,direct_intercept,out_of_plane,high,1,1.43071,1.43071,1,dv_cap,0,864.9
direct_intercept_out_of_plane_med_089,direct_intercept,out_of_plane,med,1,0.96017,0.96017,1,dv_cap,0,1776.2
direct_intercept_out_of_plane_med_090,direct_intercept,out_of_plane,med,1,0.59516,0.59516,1,dv_cap,0,2426.3
direct_intercept_out_of_plane_low_091,direct_intercept,out_of_plane,low,1,0.25945,0.25945,0,,,2951.1
direct_intercept_out_of_plane_low_092,direct_intercept,out_of_plane,low,1,0.08145,0.08145,0,,,3200.0
