plan_id,category,start_y_m,n_burns,max_dv_m_s,V_post,requires_intervention,reasons,binding_constraint
safe_brt_y65_056,safe_brt,65.0,1,0.03591,0.1921,0,,none
safe_brt_y65_057,safe_brt,65.0,1,0.03306,0.2416,0,,none
safe_brt_y65_058,safe_brt,65.0,1,0.03991,0.1921,0,,none
safe_brt_y65_059,safe_brt,65.0,1,0.02189,0.0793,0,,none
safe_brt_y65_060,safe_brt,65.0,1,0.00464,0.2941,0,,none
safe_brt_y65_061,safe_brt,65.0,1,0.03853,0.1356,0,,none
brt_v_borderline_y65_062,brt_v_borderline,65.0,1,0.15907,0.0753,0,,none
brt_v_borderline_y65_063,brt_v_borderline,65.0,1,0.12655,0.0771,0,,none
brt_v_borderline_y65_064,brt_v_borderline,65.0,1,0.34717,0.1487,0,,none
brt_v_borderline_y65_065,brt_v_borderline,65.0,1,0.30233,0.0627,0,,none
